Facility Permit #,Establishment Name,Facility Name,Facility Address,Facility Unit No,Facility City,Facility State,Facility Zip,Business Status,Facility Type,Permit Type,Web Site,Operational Status,Location 1
514216,TONY'S HOUSE OF SAUSAGE #1 514216,TONY'S HOUSE OF SAUSAGE #1 514216,3663 PO Box,,Kansas City,KANSAS,64103,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"3663 PO Box
Kansas City, KANSAS 64103"
1240,Briarcliff School,Briarcliff School,4100 NE Briarcliff Rd,,Kansas City,MISSOURI,64116,Open,Fee Exempt,Fee Exempt,,Operational,"4100 NE Briarcliff Rd
Kansas City, MISSOURI 64116"
100504,KCI Starbucks (Gate 79),KCI Starbucks (Gate 79),KCI Terminal C Gate 79,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"KCI Terminal C Gate 79
Kansas City, MISSOURI 64153"
2196,Chartwells Education Food Service at Pembroke,Chartwells Education Food Service at Pembroke,5121 State Line,,Kansas City,MISSOURI,64112,Open,School - Private 6-9 Employees,School - Private,,Operational,"5121 State Line
Kansas City, MISSOURI 64112"
4177,Pembroke Hill School - Concession Stand,Pembroke Hill School - Concession Stand,5121 State Line,,Kansas City,MISSOURI,64112,Open,School - Private 0-5 Employees,School - Private,,Operational,"5121 State Line
Kansas City, MISSOURI 64112"
1882,Southeast Elementary School,Southeast Elementary School,5704 NW Northwood,,Kansas City,MISSOURI,64151,Open,Fee Exempt,Fee Exempt,,Operational,"5704 NW Northwood
Kansas City, MISSOURI 64151"
4022,English Landing Elementary School,English Landing Elementary School,6500 NW Klamm Rd,,Kansas City,MISSOURI,64151,Open,Fee Exempt,Fee Exempt,,Operational,"6500 NW Klamm Rd
Kansas City, MISSOURI 64151"
100500,KCI Starbucks (Gate 40),KCI Starbucks (Gate 40),KCI Terminal B Gate 40,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"KCI Terminal B Gate 40
Kansas City, MISSOURI 64153"
100376,KCI Great American Bagel Bakery (Gate 68),KCI Great American Bagel Bakery (Gate 68),KCI Terminal C Gate 68,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"KCI Terminal C Gate 68
Kansas City, MISSOURI 64153"
2817,John H. Gregg Comm & Arrington Klice,John H. Gregg Comm & Arrington Klice,1600  John Buck O'Neil Way,,Kansas City,MISSOURI,64108,Open,Fee Exempt,Fee Exempt,,Operational,"1600 John Buck O'Neil Way
Kansas City, MISSOURI 64108"
101000,KCI Jose Cuervo (Gate 36),KCI Jose Cuervo (Gate 36),KCI Terminal B Gate 36,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"KCI Terminal B Gate 36
Kansas City, MISSOURI 64153"
100236,KCI Just Off Vine (Terminal C),KCI Just Off Vine (Terminal C),KCI Terminal C Gate 61,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"KCI Terminal C Gate 61
Kansas City, MISSOURI 64153"
516316,Value Express 516316,Value Express 516316,7310 Fast 118 Place,,Kansas City,MISSOURI,64134,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"7310 Fast 118 Place
Kansas City, MISSOURI 64134"
100163,Guadalupe Center Kitchen,Guadalupe Center Kitchen,1015 Cesar E. Chavez Ave  ,,Kansas City,MISSOURI,64108,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"1015 Cesar E. Chavez Ave
Kansas City, MISSOURI 64108"
101114,KCI Burger King (Gate 36),KCI Burger King (Gate 36),KCI Terminal B Gate 36,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"KCI Terminal B Gate 36
Kansas City, MISSOURI 64153"
101218,Subway,Subway,14422  E 40Hwy,,Kansas City,MISSOURI,64136,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"14422 E 40Hwy
Kansas City, MISSOURI 64136"
502916,Gyro Express 502916,Gyro Express 502916,4422 SW 12th St.,,Lee Summit,MISSOURI,64081,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"4422 SW 12th St.
Lee Summit, MISSOURI 64081"
101513,Wal-Mart Super Center #4553 (market),Wal-Mart Super Center #4553 (market),11601 E 40 Hwy / blue ridge ,,Kansas City,MISSOURI,64133,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"11601 E 40 Hwy / blue ridge
Kansas City, MISSOURI 64133"
101512,Wal-Mart Super Center #4553 (bakery),Wal-Mart Super Center #4553 (bakery),11601 E 40 Hwy /blue ridge ,,Kansas City,MISSOURI,64133,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"11601 E 40 Hwy /blue ridge
Kansas City, MISSOURI 64133"
101511,Wal-Mart Super Center #4553 (deli),Wal-Mart Super Center #4553 (deli),11601 E 40 Hwy /blue ridge,,Kansas City,MISSOURI,64133,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"11601 E 40 Hwy /blue ridge
Kansas City, MISSOURI 64133"
101633,Panda Express,Panda Express,9241 NE Hwy 152,,Kansas City ,MISSOURI,64158,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"9241 NE Hwy 152
Kansas City, MISSOURI 64158"
101632,KCI Starbucks Coffee (Gate 37),KCI Starbucks Coffee (Gate 37),KCI Terminal B Gate 37,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"KCI Terminal B Gate 37
Kansas City, MISSOURI 64153"
101724,Tiffany Hills Park Aquatic Center,Tiffany Hills Park Aquatic Center,9400 NW Congress ,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"9400 NW Congress
Kansas City, MISSOURI 64153"
101851,Treat America @ H&R Block,Treat America @ H&R Block,1 H&R Block Way,,Kansas City,MISSOURI,64105,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"1 H&R Block Way
Kansas City, MISSOURI 64105"
100417,KCI Bud Stadium Club (Gate 76),KCI Bud Stadium Club (Gate 76),KCI  Terminal C Gate 77,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"KCI Terminal C Gate 77
Kansas City, MISSOURI 64153"
101948,La Jarochita Express,La Jarochita Express,109 S Hardesty,,Kansas CIty,MISSOURI,64124,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"109 S Hardesty
Kansas CIty, MISSOURI 64124"
102037,CVS Pharmacy,CVS Pharmacy,7003 Banister Rd,,Kansas City,MISSOURI,64134,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"7003 Banister Rd
Kansas City, MISSOURI 64134"
101955,Buffalo Wild Wings,Buffalo Wild Wings,9207 NE Hwy 152,,Kansas City,MISSOURI,64157,Open,Restaurant/Deli 41-60 Employees,Restaurant/Deli,http://BuffaloWildwings.com,Operational,"9207 NE Hwy 152
Kansas City, MISSOURI 64157"
102036,CVS/ Pharmacy #8592,CVS/ Pharmacy #8592,921 Main St,,Kansas City,MISSOURI,64105,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"921 Main St
Kansas City, MISSOURI 64105
(39.102614, -94.583052)"
102171,Po's Dumpling Bar,Po's Dumpling Bar,1715  W. 39th Street,,Kansas City,MISSOURI,64111,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"1715 W. 39th Street
Kansas City, MISSOURI 64111
(39.057285, -94.605811)"
102136,Christopher Elbow Chocolates,Christopher Elbow Chocolates,1819 McGee,,Kansas City,MISSOURI,64108,Open,Retail Bakery 3001-30000 sq. ft.,Retail Bakery,,Operational,"1819 McGee
Kansas City, MISSOURI 64108
(39.09093, -94.58019)"
102109,Worlds of Fun Panda Express,Worlds of Fun Panda Express,4545 World of Fun Ave,,Kansas City,MISSOURI,64161,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"4545 World of Fun Ave
Kansas City, MISSOURI 64161
(39.174532, -94.492423)"
102152,Benish's Bakery  ,Benish's Bakery  ,7304 Main ,,Kansas City ,MISSOURI,64114,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"7304 Main
Kansas City, MISSOURI 64114
(38.99555, -94.589366)"
102151,Miami Ice,Miami Ice,1624 W.  39th Street,1,Kansas City,MISSOURI,64111,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"1624 W. 39th Street
Kansas City, MISSOURI 64111
(39.057256, -94.604835)"
102162,Aladdin Hotel (Zebra Room),Aladdin Hotel (Zebra Room Bar),1215 Wyandotte St,,Kansas City,MISSOURI,64105,Open,Bar/Tavern 0-5 Employees,Bar/Tavern,,Operational,"1215 Wyandotte St
Kansas City, MISSOURI 64105
(39.099448, -94.585594)"
102315,Sprint Center Grand Grill (115),Sprint Center Grand Grill (115),1407  Grand Ave,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave
Kansas City, MISSOURI 64106"
102239,Sprint Center Sky Station (208),Sprint Center Sky Station (208),1407 Grand Ave.,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave.
Kansas City, MISSOURI 64106"
102240,Sprint Center Sky Station (225),Sprint Center Sky Station (225),1407  Grand Ave.,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave.
Kansas City, MISSOURI 64106"
102242,Sprint Center Vendor Commissary (I-Candy) 113,Sprint Center Vendor Commissary (I-Candy) 113,1407 Grand Ave. ,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave.
Kansas City, MISSOURI 64106"
102314,Sprint Center Fan Favorites (113),Sprint Center Fan Favorites (113),1407 Grand Ave,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave
Kansas City, MISSOURI 64106"
102317,Sprint Center Taco Taco (110),Sprint Center Taco Taco (110),1407  Grand Ave,34,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave
Kansas City, MISSOURI 64106"
102238,Sprint Center Truman BBQ (217),Sprint Center Truman BBQ (217),1407 Grand Ave,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave
Kansas City, MISSOURI 64106"
102243,Sprint Center Fan Favorite (216),Sprint Center Fan Favorite (216),1407 Grand Ave.,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave.
Kansas City, MISSOURI 64106"
102319,Sprint Center Oak St. Pizza (104),Sprint Center Oak St. Pizza (104),1407  Grand Ave,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave
Kansas City, MISSOURI 64106"
102313,Sprint Center Fan Favorites (106),Sprint Center Fan Favorites (106),1407 Grand Avenue,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Avenue
Kansas City, MISSOURI 64106"
102318,Sprint Center Vendor Commissary (Gomez Concessions),Sprint Center Vendor Commissary (Gomez Concessions),1407 Grand Ave,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave
Kansas City, MISSOURI 64106"
102322,Sprint Center Metro Sports Bar,Sprint Center Metro Sports Bar,1407 Grand Ave,,Kansas City,MISSOURI,64106,Open,Bar/Tavern 10-20 Employees,Bar/Tavern,,Operational,"1407 Grand Ave
Kansas City, MISSOURI 64106"
102321,Sprint Center Truman BBQ (122),Sprint Center Truman BBQ (122),1407 Grand Ave,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave
Kansas City, MISSOURI 64106"
102320,Sprint Center Backstage Burger (119),Sprint Center Backstage Burger (119),1407 Grand Ave,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave
Kansas City, MISSOURI 64106"
102241,Sprint Center Founder's Club,Sprint Center Founder's Club,1407 Grand Ave,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1407 Grand Ave
Kansas City, MISSOURI 64106"
512416,Sprint Center-Jose Peppers 106 512416,Sprint Center-Jose Peppers 106 512416,1407 Grand Ave.,,Kansas City,MISSOURI,64106,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"1407 Grand Ave.
Kansas City, MISSOURI 64106"
512016,Sprint Center- Fresh Squeezed Lemonade #1 512016,Sprint Center- Fresh Squeezed Lemonade #1 512016,1407 Grand Ave.,,Kansas City,MISSOURI,64106,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"1407 Grand Ave.
Kansas City, MISSOURI 64106"
511916,Sprint Center- Fresh Squeezed Lemonade #2 511916,Sprint Center- Fresh Squeezed Lemonade #2 511916,1407 Grand Ave.,,Kansas City,MISSOURI,64106,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"1407 Grand Ave.
Kansas City, MISSOURI 64106"
514416,Sprint Center- Dippin Dots #1 514416,Sprint Center- Dippin Dots #1 514416,1407 Grand Ave.,,Kansas City,MISSOURI,64106,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"1407 Grand Ave.
Kansas City, MISSOURI 64106"
515516,Sprint Center-Jose Peppers Cart 119 515516,Sprint Center-Jose Peppers Cart 119 515516,1407  Grand Ave.,,Kansas City,MISSOURI,64106,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"1407 Grand Ave.
Kansas City, MISSOURI 64106"
512116,Sprint Center- Fresh Squeezed Lemonade #3 512116,Sprint Center- Fresh Squeezed Lemonade #3 512116,1407 Grand Ave.,,Kansas City,MISSOURI,64106,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"1407 Grand Ave.
Kansas City, MISSOURI 64106"
103862,Boulevard Bar & Grill @ Four Points Sports Complex,Boulevard Bar & Grill @ Four Points Sports Complex,4011 Blue Ridge Blvd.,,Kansas City,MISSOURI,64133,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"4011 Blue Ridge Blvd.
Kansas City, MISSOURI 64133"
103807,Grainger Cafe,Grainger Cafe,11200 East 210 Highway,,Kansas City,MISSOURI,64161,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"11200 East 210 Highway
Kansas City, MISSOURI 64161"
105903,The Guild,The Guild,1621 Locust,,Kansas City,MISSOURI,64108,Open,Bar/Tavern 0-5 Employees,Bar/Tavern,,Operational,"1621 Locust
Kansas City, MISSOURI 64108
(39.093587, -94.577678)"
503416,Tacos Colima 503416,Tacos Colima 503416,3711 Lawn ,,Kansas City,MISSOURI,64127,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"3711 Lawn
Kansas City, MISSOURI 64127"
104223,KCI The Paradies Shop/KC Marketplace (KCI Terminal B),KCI The Paradies Shop/KC Marketplace (KCI Terminal B),"KCI Airport Terminal B, Gate 36",,Kansas City,MISSOURI,64153,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"KCI Airport Terminal B, Gate 36
Kansas City, MISSOURI 64153"
503616,Taqueria y Masqueria Silvas 503616,Taqueria y Masqueria Silvas 503616,3711 White Avenue,,Kansas City,MISSOURI,64126,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"3711 White Avenue
Kansas City, MISSOURI 64126"
104332,Chiefs Levy Kansas City Style BBQ 215E,Chiefs Levy Kansas City Style BBQ 215E,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104333,Chiefs Levy Kansas City Style BBQ 238C,Chiefs Levy Kansas City Style BBQ 238C,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104334,Chiefs Levy Flame Grill 233C,Chiefs Levy Flame Grill 233C,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104335,Chiefs Levy Flame Grill 210C,Chiefs Levy Flame Grill 210C,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104336,Chiefs Levy Main Kitchen,Chiefs Levy Main Kitchen,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 41-60 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
514816,El Hidalgo 514816,El Hidalgo 514816,7820 Bellaire S Ave,,Kansas City,MISSOURI,64123,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"7820 Bellaire S Ave
Kansas City, MISSOURI 64123"
104354,Chiefs Levy Suite Pantry 131G,Chiefs Levy Suite Pantry 131G,ONE Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"ONE Arrowhead Way
Kansas City, MISSOURI 64129"
104355,Chiefs Levy Foolish Club Bar,Chiefs Levy Foolish Club Bar,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104356,Chiefs Levy Bar IV,Chiefs Levy Bar IV,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104370,Chiefs Levy Suite Pantry 230C,Chiefs Levy Suite Pantry 230C,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
520115,Starlight Theatre Fresh Squeezed Lemonade Cart #2 520115,Starlight Theatre Fresh Squeezed Lemonade Cart #2 520115,4600 Arrowhead Dr.,,Kansas City,MISSOURI,64133,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"4600 Arrowhead Dr.
Kansas City, MISSOURI 64133"
529115,Starlight Theatre Fresh Squeezed Lemonade Cart #1 529115,Starlight Theatre Fresh Squeezed Lemonade Cart #1 529115,4600 Arrowhead Dr.,,Kansas City,MISSOURI,64133,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"4600 Arrowhead Dr.
Kansas City, MISSOURI 64133"
104295,Panda Express #1779,Panda Express #1779,4901  N Oak Trwy,,KC,MISSOURI,64118,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"4901 N Oak Trwy
KC, MISSOURI 64118"
104374,Chiefs Levy Flame Grill 244C,Chiefs Levy Flame Grill 244C,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104375,Chiefs Levy Primo Italian Classics 204E,Chiefs Levy Primo Italian Classics 204E,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104581,Teadrops Downtown @ H&R Block,Teadrops Downtown @ H&R Block,1 H&R Block Way,,Kansas City,MISSOURI,64105,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"1 H&R Block Way
Kansas City, MISSOURI 64105"
506615,Frosty Treats #44 506615,Frosty Treats #44 506615,620 E Linwoood,,Kansas City,MISSOURI,64109,Open,Ice Cream Moblie Vendor,Ice Cream Moblie Vendor,,Operational,"620 E Linwoood
Kansas City, MISSOURI 64109"
104376,Chiefs Levy Founder's Plaza Club Bar (room 3.26.01),Chiefs Levy Founder's Plaza Club Bar (room 3.26.01),One  Arrowhead Dr.,,Kansas City,MISSOURI,64129,Open,Bar/Tavern 10-20 Employees,Bar/Tavern,,Operational,"One Arrowhead Dr.
Kansas City, MISSOURI 64129"
104380,Chiefs Levy Club North Bar - East (room 4.28.02),Chiefs Levy Club North Bar - East (room 4.28.02),One Arrowhead Dr.,,Kansas City,MISSOURI,64129,Open,Bar/Tavern 0-5 Employees,Bar/Tavern,,Operational,"One Arrowhead Dr.
Kansas City, MISSOURI 64129"
104377,Chiefs Levy Founder's Club Pantry (room 3.31.03),Chiefs Levy Founder's Club Pantry (room 3.31.03),One Arrowhead Dr.,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Dr.
Kansas City, MISSOURI 64129"
104379,Chiefs Levy Club North Bar - West (room 4.18.02),Chiefs Levy Club North Bar - West (room 4.18.02),One Arrowhead Dr.,,Kansas City,MISSOURI,64129,Open,Bar/Tavern 0-5 Employees,Bar/Tavern,,Operational,"One Arrowhead Dr.
Kansas City, MISSOURI 64129"
104391,Chiefs Levy Penthouse Pantry,Chiefs Levy Penthouse Pantry,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104393,Chiefs Levy Penthouse Suite Pantry,Chiefs Levy Penthouse Suite Pantry,One Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104392,Chiefs Levy Penthouse Suite Bar,Chiefs Levy Penthouse Suite Bar,One  Arrowhead Way,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Way
Kansas City, MISSOURI 64129"
104381,Chiefs Levy Flame Grill 220C,Chiefs Levy Flame Grill 220C,One Arrowhead Drive,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Drive
Kansas City, MISSOURI 64129"
104384,Chiefs Levy Tower Club Bar East,Chiefs Levy Tower Club Bar East,One  Arrowhead Drive,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Drive
Kansas City, MISSOURI 64129"
104385,Chiefs Levy Suite Pantry East,Chiefs Levy Suite Pantry East,One Arrowhead Drive,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Drive
Kansas City, MISSOURI 64129"
104386,Chiefs Levy Suite Pantry West,Chiefs Levy Suite Pantry West,One  Arrowhead Drive,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Drive
Kansas City, MISSOURI 64129"
104387,Chiefs Levy Signature Suite Pantry (225),Chiefs Levy Signature Suite Pantry (225),One Arrowhead Drive,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Drive
Kansas City, MISSOURI 64129"
104388,Chiefs Levy Tower Club Bar West,Chiefs Levy Tower Club Bar West,One  Arrowhead Drive,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Drive
Kansas City, MISSOURI 64129"
104390,Chiefs Levy Primo Italian Classics 228C,Chiefs Levy Primo Italian Classics 228C,One Arrowhead Drive,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"One Arrowhead Drive
Kansas City, MISSOURI 64129"
104383,Chiefs Levy Founder's Suite Kitchen,Chiefs Levy Founder's Suite Kitchen,One Arrowhead Drive,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Drive
Kansas City, MISSOURI 64129"
104378,Chiefs Levy Broadcast Suite Bar,Chiefs Levy Broadcast Suite Bar,One  Arrowhead Drive,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Drive
Kansas City, MISSOURI 64129"
104993,Holliday Montessori,Holliday Montessori,7227  Jackson St,,Kansas City,MISSOURI,64132,Open,Fee Exempt,Fee Exempt,,Operational,"7227 Jackson St
Kansas City, MISSOURI 64132"
104959,Churchs Chicken,Churchs Chicken,7200 Eastwood Trrafficway,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"7200 Eastwood Trrafficway
Kansas City, MISSOURI 64129"
104908,Chiefs Levy Tower Club Action Station,Chiefs Levy Tower Club Action Station,One Arrowhead Drive,,Kansas City,MISSOURI,64129,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"One Arrowhead Drive
Kansas City, MISSOURI 64129"
104930,Holiday Inn at The Plaza Bar,Holiday Inn at The Plaza Bar,One  East 45th St.,,Kansas City,MISSOURI,64111,Open,Bar/Tavern 0-5 Employees,Bar/Tavern,,Operational,"One East 45th St.
Kansas City, MISSOURI 64111"
533316,Per Cup (Java Hawk) 533316,Per Cup (Java Hawk) 533316,14 Genessee,,Kansas City,MISSOURI,64102,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"14 Genessee
Kansas City, MISSOURI 64102"
S0052,San-Man Gardens,San-Man Gardens,20th E 5th St,,Kansas City,MISSOURI,64106,Open,Farmers Market Permit,Farmers Market Permit,,Operational,"20th E 5th St
Kansas City, MISSOURI 64106"
F00007,Dry Lake Farms,Dry Lake Farms,20th  E 5th St,,Kansas CIty,MISSOURI,64106,Open,Farmers Market Permit,Farmers Market Permit,,Operational,"20th E 5th St
Kansas CIty, MISSOURI 64106"
S0006,Mama Socorro's,Mama Socorro's,20 Lenexa Dr,,Blue Springs,MISSOURI,64015,Open,Sampling Permit,Sampling Permit,,Operational,"20 Lenexa Dr
Blue Springs, MISSOURI 64015"
105318,KCI Fresh Attractions (Gate 31),KCI Fresh Attractions (Gate 31),KCI  Gate 31,,Kansas City,MISSOURI,64153,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"KCI Gate 31
Kansas City, MISSOURI 64153"
105077,St. Luke's Hospital of Kansas City,St. Luke's Hospital of Kansas City,"4401  Wornall ""A"" level",,Kansas City,MISSOURI,64111,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"4401 Wornall ""A"" level
Kansas City, MISSOURI 64111"
800151,Raytown Hy-Vee Catering,Raytown Hy-Vee Catering,9400 E 350 Hwy,,Raytown,MISSOURI,64133,Open,Catering Permit,Catering Permit,,Operational,"9400 E 350 Hwy
Raytown, MISSOURI 64133"
